Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)
MËt ®å "§ång hµnh luyÖn cÊp" 364	6	1	810	\spr\item\script\item_huangjintupu.spr	38	1	1	§ÕnThanh Khª ®éng giÕt 50 tªn Phi Liªm, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 365	6	1	811	\spr\item\script\item_huangjintupu.spr	38	1	1	§ÕnThanh Khª ®éng giÕt 100 tªn Phi Liªm, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 366	6	1	812	\spr\item\script\item_huangjintupu.spr	38	1	1	§ÕnThanh Khª ®éng giÕt 150 tªn Phi Liªm, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 367	6	1	813	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn L©m Du Quan giÕt 50 tªn B«n L«i, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 368	6	1	814	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn L©m Du Quan giÕt 50 tªn B«n L«i, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 369	6	1	815	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn L©m Du Quan giÕt 50 tªn B«n L«i, §ång hµnh tõ cÊp 65 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 370	6	1	816	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Ch©n nói Tr­êng B¹ch giÕt 50 tªn §éc Bé, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 371	6	1	817	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Ch©n nói Tr­êng B¹ch giÕt 100 tªn §éc Bé, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 372	6	1	818	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Ch©n nói Tr­êng B¹ch giÕt 150 tªn §éc Bé, §ång hµnh tõ cÊp 75 trë lªn		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 373	6	1	819	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Tr­êng B¹ch nam giÕt 50 tªn S­¬ng §ao, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 374	6	1	820	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Tr­êng B¹ch nam giÕt 100 tªn S­¬ng §ao, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 375	6	1	821	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Tr­êng B¹ch nam giÕt 150 tªn S­¬ng §ao, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 376	6	1	822	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Tr­êng B¹ch b¾c ®¸nh 50 tªn §ao Tr¶m, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 377	6	1	823	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Tr­êng B¹ch b¾c ®¸nh 100 tªn §ao Tr¶m, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 378	6	1	824	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Tr­êng B¹ch b¾c ®¸nh 150 tªn §ao Tr¶m, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 379	6	1	825	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn M¹c B¾c  giÕt 50 tªn M«ng Cæ Vâ SÜ, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 380	6	1	826	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn M¹c B¾c  giÕt 100 tªn M«ng Cæ Vâ SÜ, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
MËt ®å "§ång hµnh luyÖn cÊp" 381	6	1	827	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn M¹c B¾c  giÕt 150 tªn M«ng Cæ Vâ SÜ, §ång hµnh tõ cÊp 85 trë lªn.		100	1	0	\script\item\reward_partner.lua	0	1	1	0	0
M¶nh Hoµng Kim 	6	1	828	\spr\item\obj_item_gifts.spr	430	1	1	VËt phÈm trong c¸c ho¹t ®éng		100	1	0	\script\item\goldpiece.lua	0	1	1	0	0
MËt ®å nhiÖm vô gi¸o dôc	6	1	829	\spr\item\script\item_huangjintupu.spr	38	1	1	§Õn Long V­¬ng ®µi ®¸nh cäc gç 30 lÇn		100	1	0	\script\item\reward\reward_education.lua	0	1	1	0	0
NguyÖt Quang b¶o	6	1	830	\spr\item\script\zq_ygbh.spr	428	2	2	VËt phÈm ho¹t ®éng, NhÊn chuét ph¶i xem chi tiÕt		100	1	0	\script\item\moonlight_box.lua	0	1	1	0	0
Vâ L©m ®¹i hång bao	6	1	831	\spr\item\obj_item_jixiang.spr	347	1	1	NhÊn chuét ph¶i xem chi tiÕt		100	1	0	\script\item\wulin_hongbao.lua	0	1	1	0	0
Hoa hång t×nh yªu	6	1	832	\spr\item\questkey\flower.spr	431	1	1	VËt phÈm ho¹t ®éng		100	1	0	\script\item\rose.lua	0	1	1	0	0
S«c«la t×nh yªu	6	1	833	\spr\item\obj_item_gifts.spr	345	1	1	Sö dông sÏ t¨ng 1 sè ®iÓm kinh nghiÖm <enter>Mang 9 c¸i ®Õn gÆp NguyÖt l·o ®Ó ®æi th­ëng		100	1	0	\script\item\lovechocolate.lua	0	1	1	0	0
Kim Cang BÊt Ph¸.§ång hµnh MËt tŞch 	6	1	834	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Kim Cang BÊt Ph¸", t¨ng phßng thñ <enter>mçi mét §ång hµnh häc ®­îc tèi ®a 20 quyÓn.		100	1	0	\script\item\partner_skillbook_resist.lua	0	1	1	1	0
B¸ch §éc BÊt X©m. §ång hµnh MËt tŞch 	6	1	835	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "B¸ch §éc BÊt X©m", t¨ng phßng ®éc <enter>mçi mét §ång hµnh häc ®­îc tèi ®a 20 quyÓn.		100	1	0	\script\item\partner_skillbook_resist.lua	0	1	1	1	0
B¨ng TuyÕt S¬ Dung. §ång hµnh MËt tŞch 	6	1	836	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "B¨ng TuyÕt S¬ Dung", t¨ng phßng b¨ng <enter>mçi mét §ång hµnh häc ®­îc tèi ®a 20 quyÓn.		100	1	0	\script\item\partner_skillbook_resist.lua	0	1	1	1	0
Ch©n Háa Kh¸ng Lùc. §ång hµnh MËt tŞch 	6	1	837	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Ch©n Háa Kh¸ng Lùc", t¨ng phßng háa <enter>mçi mét §ång hµnh häc ®­îc tèi ®a 20 quyÓn.		100	1	0	\script\item\partner_skillbook_resist.lua	0	1	1	1	0
L«i §×nh Hé Gi¸p. §ång hµnh MËt tŞch 	6	1	838	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "L«i §×nh Hé Gi¸p", t¨ng phßng L«i <enter>mçi mét §ång hµnh häc ®­îc tèi ®a 20 quyÓn.		100	1	0	\script\item\partner_skillbook_resist.lua	0	1	1	1	0
TrÊn Ngôc Ph¸ Thiªn. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	839	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "TrÊn Ngôc Ph¸ Thiªn", rót nh¾n thêi gian tróng ®éc.		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
§¹i Bi Chó. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	840	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "§¹i Bi Chó", t¨ng phßng ®éc		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
LuyÖn Ngôc Hñ Cæ. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	841	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "LuyÖn Ngôc Hñ Cèt", t¨ng phßng ®éc		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
Thùc Cèt HuyÕt NhËn. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	842	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Thùc Cèt HuyÕt NhËn", t¨ng thêi gian håi phôc		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
NghŞch ChuyÓn T©m Kinh. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	843	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "NghŞch ChuyÓn T©m Kinh", t¨ng tèc ®é di chuyÓn		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
HuyÒn B¨ng ¢m Khİ. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	844	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng HuyÒn B¨ng ¢m Khİ", t¨ng phßng háa		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
TrÇn Kh«ng Ph¹m TÉn. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	845	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "TrÇn Kh«ng Ph¹n TÉn", t¨ng phßng thñ 		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
Háa Phông Khinh Ng©m. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	846	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Háa Phông Khinh Ng©m", t¨ng tèc ®é di chuyÓn		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
ThuÇn D­¬ng V« Cùc. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	847	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "ThuÇn D­¬ng V« Cùc", t¨ng thêi gian håi phôc		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
V©n Sinh KÕt H¶i. §ång hµnh MËt tŞch (TuyÖt kü) 	6	1	848	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "V©n Sinh KÕt H¶i", t¨ng phßng b¨ng		100	1	0	\script\item\partner_skillbook_ultimate.lua	0	1	1	1	0
B×nh Hßa Khİ QuyÕt. §ång hµnh MËt tŞch (Hç trî) 	6	1	849	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "B×nh Hßa Khİ QuyÕt", t¨ng ®é chİnh x¸c c«ng kİch		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
H­ Kh«ng ThiÓm ¶nh. §ång hµnh MËt tŞch (Hç trî) 	6	1	850	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "H­ Kh«ng ThiÓm ¶nh", t¨ng kh¶ n¨ng tr¸nh nĞ 		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Héi ThÇn TÜnh T©m. §ång hµnh MËt tŞch (Hç trî) 	6	1	851	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Héi ThÇn TÜnh T©m", t¨ng tû lÖ chİnh x¸c		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
V« NiÖm T©m Kinh. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	852	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "V« NiÖm T©m Kinh", t¨ng phßng l«i		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Ngò Hµnh V« T­íng. §ång hµnh MËt tŞch (Hç trî) 	6	1	853	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Ngò Hµnh V« T­íng", t¨ng toµn bé kh¸ng tİnh		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Di Khİ Phiªu Tung. §ång hµnh MËt tŞch (Hç trî) 	6	1	854	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Di Khİ Phiªu Tung", t¨ng tèc ®é di chuyÓn		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Hoa Phi §iÖp Vò. §ång hµnh MËt tŞch (Hç trî) 	6	1	855	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Hoa Phi §iÖp Vò", t¨ng tèc ®éc xuÊt chiªu hÖ Ngo¹i c«ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
L­u Quang Phi Vò. §ång hµnh MËt tŞch (##) 	6	1	856	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "L­u Quang Phi Vò", t¨ng tèc ®éc xuÊt chiªu hÖ Néi c«ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Hoµn BØ Chi Th©n. §ång hµnh MËt tŞch (Hç trî) 	6	1	857	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Hoµn BØ Chi Th©n", t¨ng kh¶ n¨ng ph¶n ®ßn		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
§¶o Hµnh NghŞch Thi. §ång hµnh MËt tŞch (Hç trî) 	6	1	858	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "§¶o Hµnh NghŞch Thi", t¨ng kh¶ n¨ng ph¶n ®ßn xa		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Tİnh Ng¹o Tam §«ng. §ång hµnh MËt tŞch (Hç trî) 	6	1	859	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Tİnh Ng¹o Tam §«ng", gi¶m thêi gian bŞ th­¬ng 		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
§iÓm HuyÕt TiÖt M¹ch. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	860	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "§iÓm HuyÕt TiÖt M¹ch", gi¶m phßng b¨ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
V¹n §éc BÊt Phôc. §ång hµnh MËt tŞch (Hç trî) 	6	1	861	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "V¹n §éc BÊt Phôc", nhanh chãng håi phôc khi tróng §éc		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Th©n Khinh Nh­ YÕn. §ång hµnh MËt tŞch (Hç trî) 	6	1	862	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Th©n Khinh Nh­ YÕn", lËp tøc håi phôc tèc ®é di chuyÓn		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Ng­ng ¢m Quy Nguyªn. §ång hµnh MËt tŞch (Hç trî) 	6	1	863	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Ng­ng ¢m Quy Nguyªn", phôc håi khi bŞ cho¸ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
DŞch Cèt Kinh. §ång hµnh MËt tŞch (Hç trî) 	6	1	864	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "DŞch Cèt Kinh", v« hiÖu ®ßn chİ mÖnh cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Thóc Th©n ThuËt. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	865	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Thóc Th©n ThuËt", khèng chÕ ®éng t¸c cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Ho·n Th©n ThuËt. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	866	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Ho·n Th©n ThuËt" khèng chÕ ®éng t¸c cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
HuyÒn Môc §Şnh Th©n thuËt. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	867	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "HuyÒn Môc §Şnh Th©n thuËt", t¨ng møc g©y cho¸ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
İch Thä ¢m D­¬ng. §ång hµnh MËt tŞch (Hç trî) 	6	1	868	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "İch Thä ¢m D­¬ng", t¨ng Sinh lùc		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
An Phñ Chi Ng÷. §ång hµnh MËt tŞch (Hç trî) 	6	1	869	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "An Phñ Chi Ng÷", lËp tøc håi phôc Sinh lùc		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Tam Sinh H÷u H¹nh. §ång hµnh MËt tŞch (Hç trî) 	6	1	870	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Tam Sinh H÷u H¹nh", t¨ng ®iÓm may m¾n		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Quû Mª MŞ HoÆc. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	871	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Quû Mª MŞ HoÆc", v« hiÖu ®ßn chİ mÖnh cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
§o¹t MÖnh TriÒn NhiÔu. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	872	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "§o¹t MÖnh TriÒn NhiÔu", v« hiÖu kh¶ n¨ng di chuyÓn cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Yªu Hå Tr¸i ¶nh. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	873	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Yªu Hå Tr¸i ¶nh", v« hiÖu ®é chİnh x¸c cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
HoÆc ThÇn Lo¹n T©m. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	874	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "HoÆc ThÇn Lo¹n T©m", v« hiÖu ®ßn chİ mÖnh cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
C« Th©n To¸i ¶nh. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	875	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "C« Th©n To¸i ¶nh", gi¶m toµn bé kh¸ng tİnh cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Tö Vong Ki B¸n. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	876	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Tö Vong Ki B¸n", v« hiÖu kh¶ n¨ng di chuyÓn cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Th©m Hån NiÖm X­íng. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	877	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Th©m Hån NiÖm X­íng", gi¶m tèc ®é xuÊt chiªu cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
CËp Ph¸ch Chi Chó. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	878	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "CËp Ph¸ch Chi Chó", gi¶m tèc ®é xuÊt chiªu cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Hãa Tñy V« ı. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	879	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Hãa Tñy V« ı", v« hiÖu kh¶ n¨ng ph¶n ®ßn cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Dung Cèt V« Tung. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	880	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Dung Cèt V« Tung", v« hiÖu kh¶ n¨ng ph¶n ®ßn cña ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
¢m TriÒu Chi Khİ. §ång hµnh MËt tŞch (Hñy bá) 	6	1	881	\spr\item\questkey\obj_item_lection.spr	341	1	1	Gióp §ång hµnh t¨ng kü n¨ng "¢m TriÒu Chi Khİ", t¨ng kh¶ n¨ng ph¸t ®éc		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
¸m §éc Chi Thñ. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	882	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng "¸m §éc Chi Thñ", t¨ng kh¶ n¨ng ph¸t ®éc		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Tam Phôc Chi Khİ. §ång hµnh MËt tŞch (Chó thuËt) 	6	1	883	\spr\item\questkey\taskobj075.spr	375	1	1	Gióp §ång hµnh t¨ng kü n¨ng Tam Phôc Chi Khİ", kĞo dµi tr¹ng th¸i g©y cho¸ng cho ®èi ph­¬ng		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Nam Minh Tam §o¹n Kİch. §ång hµnh MËt tŞch (Vâ c«ng) 	6	1	884	\spr\item\questkey\taskobj090.spr	374	1	1	Gióp §ång hµnh t¨ng kü n¨ng "Nam Minh Tam §o¹n Kİch", t¨ng tÊn c«ng VËt lı 		100	1	0	\script\item\partner_skillbook_learnt.lua	0	1	1	1	0
Tİn Sø Méc yªu bµi	6	1	885	\spr\item\task\item_xinshimu.spr	385	1	2	Sö dông sÏ phôc håi 10 ®iÓm ©m		100	1	0	\script\item\messenger\toll_mupaixinshi.lua	0	1	1	1	0
Tİn Sø §ång yªu bµi	6	1	886	\spr\item\task\item_xinshitong.spr	385	1	2	Sö dông sÏ phôc håi 15 ®iÓm ©m		100	1	0	\script\item\messenger\toll_tongpaixinshi.lua	0	1	1	1	0
Tİn Sø Ng©n yªu bµi	6	1	887	\spr\item\task\item_xinshiyin.spr	385	1	2	Sö dông sÏ phôc håi 20 ®iÓm ©m		100	1	0	\script\item\messenger\toll_yinpaixinshi.lua	0	1	1	1	0
Tİn Sø Kim yªu bµi	6	1	888	\spr\item\task\item_xinshijin.spr	385	1	2	Sö dông sÏ phôc håi 25 ®iÓm ©m		100	1	0	\script\item\messenger\toll_jinpaixinshi.lua	0	1	1	1	0
Ngù Tø Tİn Sø yªu bµi	6	1	889	\spr\item\task\item_xinshiyuci.spr	385	1	2	Sö dông sÏ phôc håi 30 ®iÓm ©m		100	1	0	\script\item\messenger\toll_yucixinshi.lua	0	1	1	1	0
B¸nh Trung Thu ch¸y	6	1	890	\spr\item\special\ÔÂ±ı.spr	377	1	1	Sö dông sÏ t¨ng kinh nghiÖm.		100	1	0	\script\item\zhongqiu\yuebing_kaojiao.lua	0	1	1	0	0
B¸nh Trung Thu §Ëu Xanh	6	1	891	\spr\item\mid_autumn\yuebing.spr	377	1	1	Cã thÓ ®æi ®­îc mét Tiªn Th¶o Lé t¹i Minh NguyÖt L·o Nh©n		100	1	0	\script\item\zhongqiu\yuebing_dousha.lua	0	1	1	0	0
B¸nh Trung thu h¹t sen 	6	1	892	\spr\item\mid_autumn\yuebing.spr	377	1	1	Sö dông sÏ nhËn ®­îc (20 v¹n, 30 v¹n, hoÆc 40 v¹n) kinh nghiÖm.		100	1	0	\script\item\zhongqiu\yuebing_lianrong.lua	0	1	1	0	0
B¸nh Trung Thu §Ëu Trøng	6	1	893	\spr\item\mid_autumn\yuebing.spr	377	1	1	Cã thÓ ®æi ®­îc mét Phóc Duyªn Lé t¹i Minh NguyÖt L·o Nh©n		100	1	0	\script\item\zhongqiu\yuebing_dhdousha.lua	0	1	1	0	0
