chuyen_lua4_54: 2986 tep .lua, 135 tep co thay doi
  ESCAPE=17, FORIN=142, LSTR=0, NUMKW=1, UPVAL=415, VARARG=41

protocol.lua:105  for key, v in self.KE_SCRIPT_PROTOCOL -> pairs(self.KE_SCRIPT_PROTOCOL)
Î÷ÄÏÄÏÇø/´óÀí¸®/´óÀí¸®/trap/dali_heidong_trap.lua:16  for nx, tbp in tballpoint -> pairs(tballpoint)
ÖÐÔ­±±Çø/ãê¾©/ãê¾©/trap/bianjing_ximen_trap.lua:16  for nx, tbp in tballpoint -> pairs(tballpoint)
chuyen_lua4_54: 449 tep .lua, 35 tep co thay doi
  ESCAPE=0, FORIN=54, LSTR=0, UPVAL=85, VARARG=31

protocol.lua:105  for key, v in self.KE_SCRIPT_PROTOCOL -> pairs(self.KE_SCRIPT_PROTOCOL)
protocol.lua:231  function(...) -> + local arg = {n=select('#',...), ...}
lib/awardtemplet.lua:50  for k, v in self.TYPE -> pairs(self.TYPE)
lib/baseclass.lua:21  function(...) -> + local arg = {n=select('#',...), ...}
lib/baseclass.lua:26  %t -> t
lib/baseclass.lua:35  function(...) -> + local arg = {n=select('#',...), ...}
lib/baseclass.lua:41  %t -> t
lib/basic.lua:35  function(...) -> + local arg = {n=select('#',...), ...}
lib/basic.lua:86  for key, value in org -> pairs(org)
lib/common.lua:27  function(...) -> + local arg = {n=select('#',...), ...}
lib/common.lua:155  for key, val in obj -> pairs(obj)
lib/common_sharedata.lua:33  %RECORD_KEY2 -> RECORD_KEY2
lib/common_sharedata.lua:40  %INFO_KEY1 -> INFO_KEY1
lib/common_sharedata.lua:40  %INFO_KEY2 -> INFO_KEY2
lib/common_sharedata.lua:46  %RECORD_KEY2 -> RECORD_KEY2
lib/common_sharedata.lua:48  %ObjBuffer -> ObjBuffer
lib/common_sharedata.lua:49  %ObjBuffer -> ObjBuffer
lib/common_sharedata.lua:56  for k, v in self.tbData -> pairs(self.tbData)
lib/common_sharedata.lua:63  %INFO_KEY1 -> INFO_KEY1
lib/common_sharedata.lua:63  %INFO_KEY2 -> INFO_KEY2
lib/common_sharedata.lua:157  for key, data in tb -> pairs(tb)
lib/common_sharedata.lua:173  for k, v in tbData -> pairs(tbData)
lib/common_sharedata.lua:189  %tbKeyList -> tbKeyList
lib/common_sharedata.lua:195  for k, v in %CommonShareData -> pairs(CommonShareData)
lib/composeclass.lua:173  function(...) -> + local arg = {n=select('#',...), ...}
lib/composeex.lua:157  for k, v in tbItem -> pairs(tbItem)
lib/composeex.lua:162  for k1, v1 in v -> pairs(v)
lib/composeex.lua:170  for key, value in tbItem -> pairs(tbItem)
lib/composelistclass.lua:27  for i, tbFormula in self.tbFormulaList -> pairs(self.tbFormulaList)
lib/composelistex.lua:19  for i, tbFormula in self.tbFormulaList -> pairs(self.tbFormulaList)
lib/debug.lua:16  function(...) -> + local arg = {n=select('#',...), ...}
lib/debug.lua:41  %Match -> Match
lib/debug.lua:45  %Match -> Match
lib/debug.lua:74  %GetVar -> GetVar
lib/debug.lua:76  %GetVar -> GetVar
lib/debug.lua:78  %GetVar -> GetVar
lib/debug.lua:80  %GetVar -> GetVar
lib/debug.lua:88  %GetVar -> GetVar
lib/debug.lua:97  %calcExp -> calcExp
lib/debug.lua:117  %GetExpValue -> GetExpValue
lib/debug.lua:148  %Break -> Break
lib/debug.lua:149  %Break -> Break
lib/debug.lua:152  for k, v in pBreak -> pairs(pBreak)
lib/debug.lua:168  %IsAtBreakPoint -> IsAtBreakPoint
lib/debug.lua:179  %TmpBreak -> TmpBreak
lib/debug.lua:179  %TmpBreak -> TmpBreak
lib/debug.lua:223  %ShowCurStack -> ShowCurStack
lib/debug.lua:225  %ShowCurStack -> ShowCurStack
lib/debug.lua:235  %GetLocalVariable -> GetLocalVariable
lib/debug.lua:237  %_read_ -> _read_
lib/debug.lua:247  %ParseExp -> ParseExp
lib/debug.lua:248  %GetExpValue -> GetExpValue
lib/debug.lua:251  %ShowStack -> ShowStack
lib/debug.lua:255  %ParseExp -> ParseExp
lib/debug.lua:256  %SetExpValue -> SetExpValue
lib/debug.lua:263  %Break -> Break
lib/debug.lua:268  %_read_ -> _read_
lib/debug.lua:275  %TmpBreak -> TmpBreak
lib/debug.lua:276  %TmpBreak -> TmpBreak
lib/debug.lua:292  %TmpBreak -> TmpBreak
lib/debug.lua:292  %TmpBreak -> TmpBreak
lib/debug.lua:293  %TmpBreak -> TmpBreak
lib/debug.lua:299  %TmpBreak -> TmpBreak
lib/debug.lua:299  %TmpBreak -> TmpBreak
lib/debug.lua:300  %TmpBreak -> TmpBreak
lib/debug.lua:303  %NeedStop -> NeedStop
lib/debug.lua:306  %ShowStack -> ShowStack
lib/debug.lua:307  %ProcCmd -> ProcCmd
lib/debug.lua:315  %Hook -> Hook
lib/debug.lua:316  %Hook -> Hook
lib/debug.lua:326  %Break -> Break
lib/debug.lua:331  %Break -> Break
lib/file.lua:57  %GetTabFileHeight -> GetTabFileHeight
lib/itemblue.lua:93  for x, y in ITEM_BLUE -> pairs(ITEM_BLUE)
lib/log.lua:56  function(...) -> + local arg = {n=select('#',...), ...}
lib/log.lua:87  function(...) -> + local arg = {n=select('#',...), ...}
lib/log.lua:94  %tbFactionNumber2Name -> tbFactionNumber2Name
lib/log.lua:122  for k, v in self.tbLogItemCount -> pairs(self.tbLogItemCount)
lib/log.lua:132  for _, v in tbItem -> pairs(tbItem)
lib/log.lua:143  %tbFactionNumber2Name -> tbFactionNumber2Name
lib/mapdb.lua:17  for name, tb in self.m_List -> pairs(self.m_List)
lib/mapdb.lua:31  for name, tb in self.m_List -> pairs(self.m_List)
lib/mapdb.lua:64  for name, tb in self.m_List -> pairs(self.m_List)
lib/mapdb.lua:115  for name, tb in self.m_List -> pairs(self.m_List)
lib/mem.lua:13  for i, j in org -> pairs(org)
lib/mem.lua:25  for i, j in org -> pairs(org)
lib/mem.lua:40  function(...) -> + local arg = {n=select('#',...), ...}
lib/objbuffer_head.lua:110  for key, val in tb -> pairs(tb)
lib/objbuffer_head.lua:114  for key, val in tb -> pairs(tb)
lib/player.lua:108  for k, v in tab -> pairs(tab)
lib/player.lua:121  for k, v in tab -> pairs(tab)
lib/player.lua:128  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:179  %t -> t
lib/player.lua:256  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:260  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:264  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:268  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:272  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:276  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:542  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:546  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:622  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:626  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:654  function(...) -> + local arg = {n=select('#',...), ...}
lib/player.lua:658  function(...) -> + local arg = {n=select('#',...), ...}
lib/progressbar.lua:43  %tbEventSring -> tbEventSring
lib/progressbar.lua:44  %tbEventSring -> tbEventSring
lib/progressbar.lua:63  %tbEventSring -> tbEventSring
lib/progressbar.lua:64  %tbEventSring -> tbEventSring
lib/progressbar.lua:97  %tbData -> tbData
lib/progressbar.lua:99  %tbData -> tbData
lib/progressbar.lua:100  %tbData -> tbData
lib/progressbar.lua:101  %tbData -> tbData
lib/progressbar.lua:102  %tbData -> tbData
lib/progressbar.lua:106  %tbData -> tbData
lib/progressbar.lua:115  %tbData -> tbData
lib/say.lua:31  for _, option in tb_options -> pairs(tb_options)
lib/simulator.lua:6  function(...) -> + local arg = {n=select('#',...), ...}
lib/statemachine.lua:23  %lib -> lib
lib/statemachine.lua:23  %StateMachine -> StateMachine
lib/statemachine.lua:30  %lib -> lib
lib/statemachine.lua:61  %StateBase -> StateBase
lib/statemachine.lua:168  for k, v in self.tbStateList -> pairs(self.tbStateList)
lib/statemachine.lua:193  function(...) -> + local arg = {n=select('#',...), ...}
lib/statemachine.lua:194  %lib -> lib
lib/statemachine.lua:197  for k, v in self.tbStateList -> pairs(self.tbStateList)
lib/statemachine.lua:210  %lib -> lib
lib/statemachine.lua:210  %TemplateStateMachine -> TemplateStateMachine
lib/unittest.lua:54  for key, func in self -> pairs(self)
lib/awardtype/simple.lua:8  for k, v in self -> pairs(self)
mail/maildef.lua:36  function(...) -> + local arg = {n=select('#',...), ...}
mail/maildef.lua:47  for _, _ in tb -> pairs(tb)
mail/maildef.lua:58  for k, x in v -> pairs(v)
skill/npc/chunniu.lua:347  %SKILLS -> SKILLS
skill/npc/chunniu.lua:350  %SKILLS -> SKILLS
skill/npc/chunniu.lua:353  %SKILLS -> SKILLS
skill/npc/chunniu.lua:354  %SKILLS -> SKILLS
skill/npc/chunniu.lua:356  %SKILLS -> SKILLS
skill/npc/chunniu.lua:357  %SKILLS -> SKILLS
skill/npc/chunniu.lua:359  %SKILLS -> SKILLS
skill/npc/chunniu.lua:360  %SKILLS -> SKILLS
skill/npc/chunniu.lua:362  %SKILLS -> SKILLS
skill/npc/chunniu.lua:363  %SKILLS -> SKILLS
skill/npc/chunniu.lua:364  %SKILLS -> SKILLS
tong/log.lua:9  for key, value in tbMsg -> pairs(tbMsg)
tong/tong_mix.lua:18  for _k, _v in _1 -> pairs(_1)
tong/tong_mix.lua:28  function(...) -> + local arg = {n=select('#',...), ...}
tong/tong_setting.lua:74  function(...) -> + local arg = {n=select('#',...), ...}
tong/map/map_management.lua:47  for nMapCopyId, szMapCopyName in aDynMapCopyName -> pairs(aDynMapCopyName)
tong/map/map_management.lua:64  for nMapCopyId, szMapCopyName in aDynMapCopyName -> pairs(aDynMapCopyName)
tong/npc/city_totempole.lua:593  function(...) -> + local arg = {n=select('#',...), ...}
tong/npc/tong_totempole.lua:611  function(...) -> + local arg = {n=select('#',...), ...}
ui/uiauction_house.lua:40  for szName, tbInfo in self.tbActivityList[nType] -> pairs(self.tbActivityList[nType])
ui/uiauction_house.lua:80  for szName, tbInfo in self.tbActivityList[self.nCurTypeIndex] -> pairs(self.tbActivityList[self.nCurTypeIndex])
ui/uiauction_house.lua:94  for nPage, tbPage in a.tbItemList -> pairs(a.tbItemList)
ui/uiauction_house.lua:95  for i, tbItem in tbPage -> pairs(tbPage)
ui/uiauction_house.lua:290  for szName, tbInfo in tbList -> pairs(tbList)
ui/uiauction_house.lua:324  for i, tbItem in tbPage -> pairs(tbPage)
ui/uiauction_house.lua:332  for i, tbItem in tbPage -> pairs(tbPage)
ui/uichienlenh.lua:15  function(...) -> + local arg = {n=select('#',...), ...}
ui/uimail.lua:44  for nId, tbHeader in self.tbMailList -> pairs(self.tbMailList)
ui/uimail.lua:54  for nId, tbHeader in self.tbMailList -> pairs(self.tbMailList)
ui/uimail.lua:64  for nId, tbHeader in self.tbMailList -> pairs(self.tbMailList)
ui/uimail.lua:93  for nId, tbMail in self.tbMailList -> pairs(self.tbMailList)
ui/uimail.lua:106  for nId, tbMailHeader in tbHeaderList -> pairs(tbHeaderList)
ui/uimail.lua:235  for _, tbInfo in tbAwardInfo -> pairs(tbAwardInfo)
ui/uimail.lua:254  for _, tbInfo in tbAward -> pairs(tbAward)
ui/uimail.lua:432  for nId, _ in self.tbMailCheckList -> pairs(self.tbMailCheckList)
ui/uimail.lua:457  for nId, _ in self.tbMailCheckList -> pairs(self.tbMailCheckList)
